"scientific_name","qc_status"
"Cyperus houghtonii","Susceptible"
"Iris virginica","Susceptible"
"Schoenoplectus heterochaetus","Susceptible"
"Esox americanus","Susceptible"
"Cyperus subsquarrosus","Susceptible"
"Eleocharis compressa","Susceptible"
"Cyperus schweinitzii","Susceptible"
"Cyperus odoratus","Susceptible"
"Sisyrinchium angustifolium","Susceptible"
"Trichophorum pumilum","Susceptible"
"Hydroprogne caspia","Menacée"
"Desmognathus ochrophaeus","Menacée"
"Charadrius melodus","Menacée"
"Melanerpes erythrocephalus","Menacée"
"Setophaga cerulea","Menacée"
"Podiceps auritus","Menacée"
"Sterna dougallii","Menacée"
"Ammocrypta pellucida","Menacée"
"Moxostoma hubbsi","Menacée"
"Ichthyomyzon fossor","Menacée"
"Lanius ludovicianus","Menacée"
"Coturnicops noveboracensis","Menacée"
"Sagittaria montevidensis","Menacée"
"Gaylussacia bigeloviana","Menacée"
"Juncus acuminatus","Menacée"
"Eriocaulon parkeri","Menacée"
"Carex glacialis","Menacée"
"Carex lupuliformis","Menacée"
"Corallorhiza odontorhiza","Menacée"
"Arisaema dracontium","Menacée"
"Cypripedium passerinum","Menacée"
"Pinus rigida","Menacée"
"Schoenoplectiella purshiana","Menacée"
"Verbena simplex","Menacée"
"Ulmus thomasii","Menacée"
"Erythranthe geyeri","Menacée"
"Saururus cernuus","Menacée"
"Carex digitalis","Menacée"
"Aspidotis densa","Menacée"
"Aristida basiramea","Menacée"
"Woodsia obtusa","Menacée"
"Polystichum scopulinum","Menacée"
"Athyrium distentifolium","Menacée"
"Aplectrum hyemale","Menacée"
"Pellaea atropurpurea","Menacée"
"Pterospora andromedea","Menacée"
"Myosotis verna","Menacée"
"Thelypteris simulata","Menacée"
"Phegopteris hexagonoptera","Menacée"
"Muhlenbergia tenuiflora","Menacée"
"Hordeum brachyantherum","Menacée"
"Neottia bifolia","Menacée"
"Asplenium ruta","Menacée"
"Coenonympha nipisiquit","Menacée"
"Arnica griscomii","Menacée"
"Draba pycnosperma","Menacée"
"Podophyllum peltatum","Menacée"
"Asclepias tuberosa","Menacée"
"Panax quinquefolius","Menacée"
"Salix chlorolepis","Menacée"
"Justicia americana","Menacée"
"Cirsium scariosum","Menacée"
"Apalone spinifera","Menacée"
"Sternotherus odoratus","Menacée"
"Emydoidea blandingii","Menacée"
"Dermochelys coriacea","Menacée"
"Gulo gulo","Menacée"
"Cicuta maculata","Menacée"
"Lithospermum parviflorum","Menacée"
"Monarda punctata","Menacée"
"Hydrophyllum canadense","Menacée"
"Astragalus robbinsii","Menacée"
"Corema conradii","Menacée"
"Eurybia divaricata","Menacée"
"Boechera quebecensis","Menacée"
"Symphyotrichum anticostense","Menacée"
"Packera heterophylla","Menacée"
"Symphyotrichum laurentianum","Menacée"
"Solidago chlorolepis","Menacée"
"Packera obovata","Menacée"
"Erigeron philadelphicus","Menacée"
"Polemonium vanbruntiae","Menacée"
"Cherleria marcescens","Menacée"
